m1	m2	m3	m4	m5
0	-0.7212423392533238	-2.56269012162044	0	0
2.197549490764893	-0.34639042689729505	-0.15452935981414515	0.23492514470076245	0
0	0	0	0	0
0.03371460643743729	0	-1.695348313153911	0	0
0.7988627593104138	0	-1.3412751049014673	-0.5651873541680601	0
0.6288258835784803	0.8046548218226901	-2.0532085807558094	0	0
1.369369215902634	0	-0.9938264641066499	0.5817696699010729	0.7177805692641269
0	0	-1.1127055042559038	-0.866874778032444	-0.9340372832598507
0.5809462476388441	0.34070275904523784	-0.14639026608276917	-0.3741048578627819	-0.7474142010104867
0.015858814384365816	-0.27183054278532204	-1.7251915868675343	0	-0.19617916450091497
2.2673679416453103	0.8843413838867034	0	0	0.1889446250311314
0	-0.4526126915987452	-1.2103972527682463	-0.3164501858980607	-0.6478793214063517
0.5638790499253188	0	-0.8299835350224116	-0.49975510577272897	0
0.5416011802548194	0	-1.4982759582792373	-0.4482898636317214	0
0.8777558206456088	0	-0.27698117283301316	0	-1.253021932095105
1.149401675413242	0	-1.0469385033822578	0	0
0.7903218189591346	0.35761239852239324	0	-0.025948180462798898	0
1.1846037312527204	-0.0972042662166203	-1.4053021799949503	0	1.2409002203659387
0	0	-0.5664212352248228	-0.9543605939843582	0.1343246889008195
0.9659126964869238	0	-0.5511839346068271	0	-1.5708669538057816
0	0	-1.4376132759832494	-0.1272389294735189	-0.37059960792538593
0	0	-0.9300592328239969	0	0
1.2768683289615397	0.17410332943196827	-0.33867399485135186	0.5209296709592901	0
1.526262941021376	-0.5003301891242986	0	0.39109038711975436	-1.7182398188071837
0.621505910212341	0	-0.8016575072546969	-0.4754257887519199	-1.2473847424597184
-0.02850308342192076	0	-1.80543526630899	0	0.08447462952690034
2.2845971608696916	0	0	0	0.17849140646059306
0.8361824422476928	0	-0.8245092212182882	0	0
0.35325019783913597	0	-0.962964273446722	-0.137069603732772	0.03334751573752967
0	0	0	-1.2196883045785814	-0.5990969681095073
1.3026160401041262	-0.7956709873876336	0	0	-0.6770672884298804
1.4577040378555632	0	0	0	0
1.4821191768780257	0	0	0	0
0.76440196255357	0.6481422948109986	-1.1705815590073885	0	0
1.1396682743262607	0	-1.4194483834962326	0	0
1.2859291129594932	0.6470980879393453	-1.020269927134443	0	0
0	0	0	0	1.1106955236822424
0	0	-0.7967194341040092	0	-0.742520639905262
0.9523607834912882	0.07619138821011504	0	-0.26800391701743365	0
0.7495242871942899	0.44514739016511545	-0.0572547392500197	-0.8254998050047205	0
0	0	-1.7271764130040272	0	0.06960886800458793
0.34732920569317405	0	-1.5523897542904874	0	0
0.5579931510589823	0	0	0.14395116275176423	0.029059907426516637
0.5661402386122671	0	0	-0.9282779686737965	0.10330768444432639
0.6156133950150773	0.6703322368216205	-1.456431392097386	-0.8418329980934085	0
1.0827647994130096	0	-1.6187818013873452	0	0.35263278092511213
0.6737710620726587	0.861859122269767	-1.2718040885993058	0.01469079031005427	-0.7414490887291361
0	0	-1.2982425388323875	0.3188417281066907	-0.4527387294235862
0	0	-1.075059124878423	-0.8693913843689396	0
1.1203738951952509	0	-0.18771830829013147	0	0.10743604210370017
